candidat,parti,candidat_presidentielle,retrait_candidature,nombre_mentions,mention_1,mention_2,mention_3,mention_4,mention_5,mention_6,mention_7,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population,hypothese
Anne Hidalgo,Parti socialiste,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0.7,1.8,5.8,8.9,15.4,23.8,43.6,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Fabien Roussel,Parti communiste,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0.8,3.2,6.1,11.1,20.3,25.5,33,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Nicolas Dupont-Aignan,Debout la France,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1.2,2.4,5.7,8.3,15.4,18.6,48.4,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Marine Le Pen,Rassemblement national,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,9.3,7.6,8.8,7.1,11.7,11.1,44.4,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Christiane Taubira,Walwari,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0.7,3.1,7.8,8.9,13.8,19.3,46.4,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Nathalie Arthaud,Lutte ouvrière,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0.9,1.3,3,7.3,16.8,24.7,46.0,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Philippe Poutou,NPA,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0.8,1.4,4.3,7.6,13.7,23.3,48.9,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Jean-Luc Mélenchon,France insoumise,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,2.7,4.7,7.5,8.9,14.1,15.8,46.3,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Eric Zemmour,Reconquête,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,6.0,5.0,6.6,6.1,9.5,8.9,57.9,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Jean Lassalle,Résistons !,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1.0,1.4,4.7,8.7,17.4,26.1,40.7,20220209_0210_ow,Opinion Way,Mieux voter,2022-02-09,2022-02-10,983,Inscrit sur les listes électorales,scrutin jugement majoritaire
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,10,30,26,29,5,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,faite-vous confiance
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,21,26,28,19,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,12,21,18,38,11,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,14,26,39,19,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,8,13,12,55,12,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,21,22,36,14,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,15,22,32,26,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,19,21,24,32,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Christiane Taubira,Walwari,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,17,20,39,21,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Philippe Poutou,NPA,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,18,17,26,36,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,18,16,20,42,0,0,20220227_0228_elb,ELABE,"Les Echos, Radio Classique",2022-02-27,2022-02-28,1431,Representatif de la population française de 18 et plus,Image positive de la personnalité
Edouard Philippe,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,14,46,21,10,6,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Roselyne Bachelot,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,8,50,22,7,11,2,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Nicolas Sarkozy,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,8,40,32,17,2,1,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Bruno Le Maire,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,43,24,7,16,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean Castex,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,43,28,16,6,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Yves Le Drian,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,39,19,5,27,5,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Martine Aubry,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,42,27,11,12,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
François Hollande,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,39,36,16,2,2,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Valérie Pécresse,Les Républicains,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,8,37,25,13,14,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Xavier Bertrand,Les Républicains,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,38,27,8,20,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Emmanuel Macron,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,9,40,25,23,1,2,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Olivier Véran,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,42,25,13,14,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,35,21,4,31,5,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Ségolène Royal,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,36,35,14,7,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Géral Darmanin,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,35,26,16,18,2,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Rachida Dati,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,33,33,12,15,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
François Bayrou,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,40,32,9,13,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Laurent Wauquiez,Les Républicains,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,36,26,9,21,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Gabriel Attal,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,34,22,10,24,6,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Hervé Morin,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,28,20,3,39,8,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Yannick Jadot,EE-LV,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,25,29,8,28,7,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Gérard Larcher,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,32,24,4,32,5,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Michel Blanquer,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,37,26,10,21,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,30,36,20,6,2,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Marine Le Pen,Rassemblement national,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,7,25,32,32,3,1,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Dupont-Moretti,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,30,28,16,18,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Marlène Schiappa,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,26,28,16,21,5,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Zemmour,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,8,18,26,41,6,1,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Christian Estrosi,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,25,31,12,26,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Fabien Roussel,Parti communiste,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,18,18,6,47,9,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,27,32,16,17,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Ciotti,,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,29,27,12,23,5,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Anne Hidalgo,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,29,33,20,12,3,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
François Ruffin,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,24,23,5,37,6,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Elisabeth Borne,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,27,23,7,35,7,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Christian Jacob,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,28,24,4,36,6,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Richard Ferrand,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,23,28,7,35,6,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Florence Parly,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,23,16,5,46,8,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jordan Bardella,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,20,22,16,32,8,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Christophe Castaner,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,25,34,18,17,4,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Olivier Faure,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,20,23,5,45,6,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Sebastien Lecornu,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,18,23,3,47,8,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Barbara Pompili,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,19,21,7,44,8,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Agnès Pannier-Runacher,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,17,15,3,52,12,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Carole Delga,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,1,18,11,3,55,12,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Bruno Retailleau,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,16,20,4,45,12,0,20211208_1209_ifp,IFOP,"Paris Match, Sud Radio",2021-12-08,2021-12-09,1004,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Edouard Philippe,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,13,48,24,10,4,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Roselyne Bachelot,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,7,46,27,10,8,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Nicolas Sarkozy,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,10,40,28,19,3,0,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Bruno Le Maire,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,40,33,5,15,4,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean Castex,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,36,36,17,5,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Yves Le Drian,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,35,25,4,25,5,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Martine Aubry,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,44,33,10,10,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
François Hollande,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,42,37,16,1,0,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Valérie Pécresse,Les Républicains,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,34,31,14,13,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Xavier Bertrand,Les Républicains,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,36,36,8,15,3,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Emmanuel Macron,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,9,36,27,26,1,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Olivier Véran,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,38,33,12,11,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,39,20,5,28,6,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Ségolène Royal,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,33,41,14,9,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Géral Darmanin,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,35,35,13,13,2,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Rachida Dati,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,32,36,14,11,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
François Bayrou,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,36,33,12,15,1,0,20220112_0113_ifp,IFOP,"Paris Match, Sud Radio",2022-01-12,2022-01-13,1009,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
